gene_name,unstranded
TSPAN6,3274
TNMD,5
DPM1,2070
SCYL3,767
C1orf112,649 622
FGR,979
CFH,2689
FUCA2,972
GCLC,2475
NFYA,2246
STPG1,163
NIPAL3,2622
LAS1L,2219
ENPP4,14677
SEMA3F,394
CFTR,104
ANKIB1,7450
CYP51A1,202
KRIT1,344
RAD52,670
MYH16,6
BAD,677
LAP3,25092
CD99,22858
CD99,0
HS3ST1,1987
AOC1,23
WNT16,2
HECW1,53
MAD1L1,16
LASP1,10210
SNX11,2567
TMEM176A,4187
M6PR,8174
KLHL13,1710
CYP26B1,5198
ICA1,766
DBNDD1,2604
ALS2,3169
CASP10,1098
CFLAR,5851
TFPI,849
NDUFAF7,930
RBM5,5115
MTMR7,111
SLC7A2,873
ARF5,3307
SARM1,466
POLDIP2,6643
PLXND1,26825
AK2,8179
CD38,1702
FKBP4,3515
KDM1A,4367
RBM6,5242
CAMKK1,699
RECQL,2127
VPS50,2055
HSPB6,72
ARHGAP33,912
NDUFAB1,1954
PDK4,6158
SLC22A16,21
ZMYND10,48
ABCB5,79
ARX,30
SLC25A13,1402
ST7,2391
CDC27,4336
SLC4A1,7
CALCR,149
HCCS,1143
DVL2,2416
PRSS22,0
UPF1,9290
SKAP2,3921
SLC25A5,6109
MCUB,1885
HOXA11,552
POLR2J,1555
DHX33,2159
MEOX1,13
THSD7A,548
LIG3,1567
RPAP3,1538
ACSM3,30
REXO5,121
CIAPIN1,2819
SPPL2B,1805
FAM214B,3744
COPZ2,625
PRKAR2B,912
MSL3,2688
CREBBP,8399
TSPOAP1,557
MPO,12
PON1,3
GCFC2,937
WDR54,698
CROT,1941
ABCB4,609
KMT2E,6214
RHBDD2,6166
SOX8,752
IBTK,4059
ZNF195,874
MYCBP2,6975
FBXL3,3111
ITGAL,2542
PDK2,1573
ITGA3,7529
ZFX,2394
LAMP2,33744
ITGA2B,45
ASB4,10
GDE1,5514
REX1BD,1023
CRLF1,26
OSBPL7,1299
TMEM98,872
YBX2,5
KRT33A,0
MAP3K14,1481
ABCC8,44
CACNG3,15
TMEM132A,10031
AP2B1,25959
TAC1,91
ZNF263,2011
CX3CL1,8021
SPATA20,4261
CACNA1G,464
TNFRSF12A,3506
DLX6,11
MAP3K9,302
RALA,6491
BAIAP2L1,55
KDM7A,5282
ETV1,9606
AGK,1889
ALDH3B1,2812
TTC22,18
PHTF2,1976
CCL26,7
FARP2,1829
USH1C,79
GGCT,498
DBF4,370
TBXA2R,511
IFRD1,825
LGALS14,19
COX10,751
GTF2IRD1,1948
PAF1,3146
VPS41,5257
ARHGAP44,249
ELAC2,5308
SCIN,21453
ARSD,1337
PNPLA4,323
MYH13,0
ADIPOR2,6855
CDKL3,40
UPP2,15
PRSS21,16
MARK4,1341
PROM1,419
CCDC124,2963
CEACAM21,673
PAFAH1B1,11985
NOS2,130
DNAH9,256
KIAA0100,11270
SLC13A2,1
GAS7,16313
TRAPPC6A,659
MATK,193
CEACAM7,7
CD79B,41
SCN4A,7
ST7L,807
TKTL1,42
PAX6,133
RPUSD1,1086
RHBDF1,229
LUC7L,3288
CACNA2D2,96
BAIAP3,996
TSR3,1908
PIGQ,2086
CRAMP1,956
TEAD3,1235
SELE,21
DNAJC11,2031
FMO3,36
MYLIP,1845
NOX1,88
E2F2,50
PSMB1,7051
SYN1,207
JARID2,1793
CDKL5,960
CAMK1G,28
CDK11A,70
NADK,5077
TFAP2B,6
TFAP2D,0
DLEC1,211
CYTH3,3925
ADAM22,7432
SYPL1,5531
CYB561,3323
SPAG9,14908
CELSR3,533
AASS,3659
PLEKHG6,29
SS18L2,870
MPND,367
MGST1,3624
CRY1,1566
PGLYRP1,3
NFIX,18057
ST3GAL1,3625
MMP25,152
IL32,1504
PKD1,6029
MAPK8IP2,570
MED24,7372
RHOBTB2,1930
HEATR5B,3602
SEC62,12056
RPS20,18378
CSDE1,39856
UBE3C,5198
REV3L,3663
TENM1,929
PAX7,0
MASP2,110
IYD,1
FAM76A,895
TRAF3IP3,781
POMT2,1338
VTA1,2251
MLXIPL,853
BAZ1B,6852
RANBP9,5508
ETV7,199
